ID,Modalitat,Colla_ID,Prioritat,anys_sense_captura,adjudicats,nova_prioritat,nou_anys_sense_captura
157,A,Colla_12,4,0,0,2,1
158,A,Colla_13,2,1,1,4,0
159,A,Colla_13,4,0,0,2,1
160,A,Colla_13,4,0,0,2,1
161,A,Colla_13,2,1,0,2,2
162,A,TrackedColla_3,2,1,1,4,0
163,A,Colla_13,2,2,1,4,0
164,A,Colla_14,2,1,1,4,0
165,A,Colla_14,2,1,0,2,2
166,A,Colla_14,2,2,1,4,0
167,A,Colla_14,4,0,0,2,1
168,A,Colla_14,4,0,0,2,1
169,A,TrackedColla_4,4,0,0,2,1
170,A,Colla_15,2,1,1,4,0
171,A,Colla_15,2,1,1,4,0
172,A,Colla_15,4,0,0,2,1
173,A,Colla_15,4,0,0,2,1
174,A,Colla_15,2,1,1,4,0
175,A,Colla_15,4,0,0,2,1
176,B,,2,1,1,4,0
177,B,,4,0,0,2,1
178,A,TrackedColla_2,2,2,1,4,0
179,A,TrackedColla_4,4,0,1,4,0
180,B,,2,2,1,4,0
181,A,TrackedColla_3,2,1,1,4,0
182,B,,2,2,1,4,0
183,B,,4,0,0,2,1
184,B,,2,1,1,4,0
185,B,,4,0,0,2,1
186,B,,4,0,0,2,1
187,B,,2,1,0,2,2
188,B,,4,0,0,2,1
189,A,TrackedColla_4,4,0,0,2,1
190,B,,2,1,1,4,0
191,B,,2,2,1,4,0
192,B,,2,2,1,4,0
193,B,,4,0,0,2,1
194,B,,2,1,1,4,0
195,B,,2,1,1,4,0
196,B,,4,0,0,2,1
197,A,TrackedColla_2,2,2,0,2,3
198,B,,2,1,1,4,0
199,B,,4,0,0,2,1
200,B,,4,0,0,2,1
201,B,,4,0,0,2,1
202,B,,2,1,1,4,0
203,B,,4,0,0,2,1
204,B,,2,1,1,4,0
205,B,,2,1,1,4,0
206,B,,2,1,0,2,2
207,B,,2,1,0,2,2
208,B,,2,2,1,4,0
209,B,,4,0,0,2,1
210,B,,4,0,0,2,1
211,B,,2,1,0,2,2
212,A,TrackedColla_4,4,0,1,4,0
213,B,,4,0,0,2,1
214,B,,4,0,0,2,1
215,B,,4,0,0,2,1
216,B,,2,2,1,4,0
217,B,,2,2,1,4,0
218,B,,4,0,0,2,1
219,B,,2,2,1,4,0
220,B,,2,1,0,2,2
221,B,,2,2,1,4,0
222,B,,2,1,1,4,0
223,B,,2,2,1,4,0
224,B,,2,2,1,4,0
225,B,,2,2,1,4,0
226,B,,4,0,0,2,1
227,B,,2,1,0,2,2
228,B,,2,1,0,2,2
229,B,,4,0,0,2,1
230,B,,4,0,0,2,1
231,B,,4,0,0,2,1
232,B,,4,0,0,2,1
233,A,TrackedColla_4,4,0,1,4,0
234,B,,4,0,0,2,1
235,B,,2,1,1,4,0
236,B,,2,2,1,4,0
237,B,,2,1,0,2,2
238,B,,2,1,1,4,0
239,B,,2,1,1,4,0
240,B,,4,0,0,2,1
241,B,,4,0,0,2,1
242,B,,2,1,1,4,0
243,B,,2,1,1,4,0
244,B,,2,2,1,4,0
245,B,,2,1,1,4,0
246,B,,2,1,1,4,0
247,B,,4,0,0,2,1
248,B,,4,0,0,2,1
249,B,,4,0,0,2,1
250,B,,4,0,0,2,1
251,B,,2,1,0,2,2
252,B,,4,0,0,2,1
253,B,,4,0,0,2,1
254,B,,2,1,0,2,2
255,B,,4,0,0,2,1
256,B,,2,1,1,4,0
257,B,,2,1,0,2,2
258,B,,2,1,0,2,2
259,B,,2,1,0,2,2
260,B,,2,1,1,4,0
261,B,,2,1,1,4,0
262,B,,4,0,0,2,1
263,B,,4,0,0,2,1
264,B,,2,2,1,4,0
265,B,,2,2,1,4,0
266,B,,4,0,0,2,1
267,B,,2,1,0,2,2
268,B,,4,0,0,2,1
269,B,,2,2,1,4,0
270,B,,4,0,0,2,1
271,A,TrackedColla_4,4,0,0,2,1
272,B,,2,1,1,4,0
273,B,,4,0,0,2,1
274,B,,2,1,1,4,0
275,B,,4,0,0,2,1
276,B,,4,0,0,2,1
277,B,,2,1,1,4,0
278,B,,2,1,1,4,0
279,A,TrackedColla_4,4,0,0,2,1
280,B,,2,1,1,4,0
281,B,,2,1,0,2,2
282,B,,4,0,0,2,1
283,B,,2,1,1,4,0
284,B,,4,0,0,2,1
285,B,,2,1,0,2,2
286,B,,2,1,1,4,0
287,B,,4,0,0,2,1
288,B,,2,2,1,4,0
289,B,,2,2,1,4,0
290,B,,4,0,0,2,1
291,B,,4,0,0,2,1
292,B,,2,1,1,4,0
293,B,,4,0,0,2,1
294,B,,2,2,1,4,0
295,B,,4,0,0,2,1
296,B,,2,1,0,2,2
297,B,,4,0,0,2,1
298,B,,2,1,1,4,0
299,B,,4,0,0,2,1
300,B,,2,2,1,4,0
301,B,,2,1,1,4,0
302,B,,4,0,0,2,1
303,B,,2,1,1,4,0
304,B,,2,1,0,2,2
305,B,,4,0,0,2,1
306,B,,2,1,0,2,2
307,B,,4,0,0,2,1
308,B,,2,1,0,2,2
309,B,,2,1,0,2,2
310,B,,2,1,1,4,0
311,B,,4,0,0,2,1
312,B,,4,0,0,2,1
313,B,,2,1,0,2,2
314,B,,2,1,0,2,2
315,B,,2,2,1,4,0
316,B,,2,2,1,4,0
317,B,,4,0,0,2,1
318,B,,4,0,0,2,1
319,B,,2,1,0,2,2
320,B,,4,0,0,2,1
321,B,,2,1,1,4,0
