ID,Modalitat,Prioritat,Colla_ID,anys_sense_captura,adjudicats,nova_prioritat,nou_anys_sense_captura
158,A,3,Colla_12,0,1,4,0
159,A,3,Colla_12,0,1,4,0
160,A,3,Colla_12,0,1,4,0
161,A,3,Colla_13,0,1,4,0
162,A,3,Colla_13,0,1,4,0
163,A,3,Colla_13,0,0,2,1
164,A,3,Colla_13,0,0,2,1
165,A,3,Colla_13,0,1,4,0
166,A,3,Colla_13,0,0,2,1
167,A,3,Colla_13,0,1,4,0
168,A,3,Colla_13,0,1,4,0
169,A,3,Colla_13,0,0,2,1
170,A,3,Colla_13,0,1,4,0
171,A,3,Colla_13,0,1,4,0
172,A,3,Colla_13,0,1,4,0
173,A,3,Colla_13,0,1,4,0
174,A,3,Colla_13,0,1,4,0
175,A,3,Colla_13,0,0,2,1
176,B,3,,0,1,4,0
177,B,3,,0,0,2,1
178,B,3,,0,0,2,1
179,B,3,,0,0,2,1
180,B,3,,0,1,4,0
181,B,3,,0,1,4,0
182,B,3,,0,0,2,1
183,B,3,,0,1,4,0
184,B,3,,0,1,4,0
185,B,3,,0,1,4,0
186,B,3,,0,1,4,0
187,B,3,,0,1,4,0
188,B,3,,0,0,2,1
189,B,3,,0,1,4,0
190,B,3,,0,1,4,0
191,B,3,,0,1,4,0
192,B,3,,0,1,4,0
193,B,3,,0,1,4,0
194,B,3,,0,1,4,0
195,B,3,,0,1,4,0
196,B,3,,0,1,4,0
197,B,3,,0,1,4,0
198,B,3,,0,1,4,0
199,B,3,,0,0,2,1
200,B,3,,0,0,2,1
201,B,3,,0,1,4,0
202,B,3,,0,0,2,1
203,B,3,,0,1,4,0
204,B,3,,0,0,2,1
205,B,3,,0,1,4,0
206,B,3,,0,1,4,0
207,B,3,,0,1,4,0
208,B,3,,0,1,4,0
209,B,3,,0,1,4,0
210,B,3,,0,0,2,1
211,B,3,,0,1,4,0
212,B,3,,0,0,2,1
213,B,3,,0,1,4,0
214,B,3,,0,0,2,1
215,B,3,,0,0,2,1
216,B,3,,0,0,2,1
217,B,3,,0,1,4,0
218,B,3,,0,0,2,1
219,B,3,,0,0,2,1
220,B,3,,0,1,4,0
221,B,3,,0,0,2,1
222,B,3,,0,1,4,0
223,B,3,,0,1,4,0
224,B,3,,0,1,4,0
225,B,3,,0,0,2,1
226,B,3,,0,1,4,0
227,B,3,,0,1,4,0
228,B,3,,0,1,4,0
229,B,3,,0,1,4,0
230,B,3,,0,1,4,0
231,B,3,,0,1,4,0
232,B,3,,0,1,4,0
233,B,3,,0,1,4,0
234,B,3,,0,1,4,0
235,B,3,,0,1,4,0
236,B,3,,0,0,2,1
237,B,3,,0,1,4,0
238,B,3,,0,1,4,0
239,B,3,,0,1,4,0
240,B,3,,0,1,4,0
241,B,3,,0,0,2,1
242,B,3,,0,0,2,1
243,B,3,,0,0,2,1
244,B,3,,0,1,4,0
245,B,3,,0,0,2,1
246,B,3,,0,1,4,0
247,B,3,,0,1,4,0
248,B,3,,0,1,4,0
249,B,3,,0,1,4,0
250,B,3,,0,1,4,0
251,B,3,,0,1,4,0
252,B,3,,0,0,2,1
253,B,3,,0,0,2,1
254,B,3,,0,1,4,0
255,B,3,,0,1,4,0
256,B,3,,0,1,4,0
257,B,3,,0,0,2,1
258,B,3,,0,1,4,0
259,B,3,,0,0,2,1
260,B,3,,0,0,2,1
261,B,3,,0,1,4,0
262,B,3,,0,1,4,0
263,B,3,,0,0,2,1
264,B,3,,0,1,4,0
265,B,3,,0,0,2,1
266,B,3,,0,0,2,1
267,B,3,,0,1,4,0
268,B,3,,0,1,4,0
269,B,3,,0,1,4,0
270,B,3,,0,1,4,0
271,B,3,,0,1,4,0
272,B,3,,0,0,2,1
273,B,3,,0,1,4,0
274,B,3,,0,0,2,1
275,B,3,,0,0,2,1
276,B,3,,0,0,2,1
277,B,3,,0,1,4,0
278,B,3,,0,1,4,0
279,B,3,,0,1,4,0
280,B,3,,0,1,4,0
281,B,3,,0,0,2,1
282,B,3,,0,1,4,0
283,B,3,,0,1,4,0
284,B,3,,0,1,4,0
285,B,3,,0,1,4,0
286,B,3,,0,1,4,0
287,B,3,,0,1,4,0
288,B,3,,0,1,4,0
289,B,3,,0,1,4,0
290,B,3,,0,1,4,0
291,B,3,,0,0,2,1
292,B,3,,0,1,4,0
293,B,3,,0,1,4,0
294,B,3,,0,1,4,0
295,B,3,,0,0,2,1
296,B,3,,0,1,4,0
297,B,3,,0,0,2,1
298,B,3,,0,1,4,0
299,B,3,,0,1,4,0
300,B,3,,0,1,4,0
301,B,3,,0,1,4,0
302,B,3,,0,1,4,0
303,B,3,,0,1,4,0
304,B,3,,0,1,4,0
305,B,3,,0,1,4,0
306,B,3,,0,0,2,1
307,B,3,,0,0,2,1
308,B,3,,0,1,4,0
309,B,3,,0,1,4,0
310,B,3,,0,1,4,0
311,B,3,,0,1,4,0
312,B,3,,0,1,4,0
313,B,3,,0,1,4,0
314,B,3,,0,1,4,0
315,B,3,,0,0,2,1
316,B,3,,0,0,2,1
317,B,3,,0,0,2,1
318,B,3,,0,0,2,1
319,B,3,,0,1,4,0
320,B,3,,0,1,4,0
321,B,3,,0,0,2,1
322,B,3,,0,0,2,1
323,B,3,,0,0,2,1
324,B,3,,0,1,4,0
325,B,3,,0,1,4,0
326,B,3,,0,1,4,0
327,B,3,,0,1,4,0
328,B,3,,0,0,2,1
329,B,3,,0,1,4,0
330,B,3,,0,1,4,0
331,B,3,,0,0,2,1
332,B,3,,0,0,2,1
333,B,3,,0,0,2,1
334,B,3,,0,1,4,0
335,B,3,,0,0,2,1
336,B,3,,0,1,4,0
337,B,3,,0,1,4,0
338,B,3,,0,1,4,0
339,B,3,,0,1,4,0
340,B,3,,0,0,2,1
341,B,3,,0,0,2,1
342,B,3,,0,1,4,0
343,B,3,,0,0,2,1
344,B,3,,0,0,2,1
345,B,3,,0,1,4,0
346,B,3,,0,1,4,0
347,B,3,,0,1,4,0
348,B,3,,0,0,2,1
349,B,3,,0,1,4,0
350,B,3,,0,1,4,0
351,B,3,,0,0,2,1
352,B,3,,0,0,2,1
353,B,3,,0,1,4,0
354,B,3,,0,1,4,0
355,B,3,,0,0,2,1
356,B,3,,0,1,4,0
357,B,3,,0,0,2,1
358,B,3,,0,1,4,0
359,B,3,,0,1,4,0
360,B,3,,0,0,2,1
361,B,3,,0,1,4,0
362,B,3,,0,0,2,1
363,B,3,,0,0,2,1
364,B,3,,0,1,4,0
365,B,3,,0,1,4,0
